# Films classés par taille (du plus lourd au plus léger)
# Généré le 2026-04-05

Taille       | Film
-------------|--------------------------------------------
63.0     GB  | Interstellar (2014)
30.6     GB  | Le_Silence_des_agneaux_(1991)
26.7     GB  | Predator_(1987)
25.8     GB  | Fight_Club_(1999)
24.3     GB  | The Long Walk (2025)
20.1     GB  | Tron_-_L'Héritage_(2010)
17.4     GB  | Jusqu'au_bout_du_monde_(1963)
17.2     GB  | Blade_Runner_(1982)
14.2     GB  | Intouchables_(2011)
13.8     GB  | Mort_sur_le_Nil_(2022)
13.0     GB  | Dobermann_(1997)
12.1     GB  | Mardi_Gras_Massacre_(1978)
12.0     GB  | Django_Unchained_(2012)
12.0     GB  | Star_Wars,_épisode_I_-_La_Menace_fantôme_(1999)
10.6     GB  | Dune_-_Première_partie_(2021)
10.3     GB  | Home Alone (1990)
9.8      GB  | Bilbo_le_hobbit_(1977)
9.6      GB  | Primer_(2004)
8.7      GB  | Moon_(2009)
8.6      GB  | Les_Évadés_(1994)
8.6      GB  | Jurassic_Park_(1993)
8.1      GB  | Last_Night_in_Soho_(2021)
8.1      GB  | Dogma_(1999)
7.6      GB  | Le_Cri_du_Faucon_(2019)
6.9      GB  | L'Empire_contre-attaque_(1980)
6.7      GB  | Coupez_!_(2022)
6.6      GB  | Aniki,_mon_frère_(2000)
6.6      GB  | Gone_Girl_(2014)
6.5      GB  | Pleasantville VF
6.3      GB  | Demain_ne_meurt_jamais_(1997)
6.0      GB  | The_Green_Knight_(2021)
6.0      GB  | Le_Robot_sauvage_(2024)
5.9      GB  | Le_monde_ne_suffit_pas_(1999)
5.8      GB  | Pearl.2022.1080p.WEBRip.DD2.0.x264-NOGRP
5.8      GB  | Crazy_Bear_(2023)
5.7      GB  | Une_nuit_en_enfer_(1996)
5.7      GB  | Pig_(2021)
5.6      GB  | Entretien_avec_un_vampire_(1994)
5.4      GB  | Twister_(1996)
5.3      GB  | Mission_-_Impossible_-_Rogue_Nation_(2015)
5.2      GB  | Les_Miller,_une_famille_en_herbe_-_Extended_Edition_(2013)
5.2      GB  | La_Guerre_des_étoiles_(1977)
5.1      GB  | La_Plateforme_(2019)
4.7      GB  | 99_Francs_(2007)
4.6      GB  | Austin_Powers_-_L'Espion_qui_m'a_tirée_(1999)
4.6      GB  | Austin_Powers_dans_Goldmember_(2002)
4.5      GB  | The_Faculty_(1998)
4.4      GB  | Demolition_Man_(1993)
4.4      GB  | Les_Ailes_de_l'enfer_(1997)
4.4      GB  | X_(2022)
4.3      GB  | Kung_Pow_(2002)
4.2      GB  | Dude_Bro_Party_Massacre_III_(2015)
4.1      GB  | Rocketman_(2019)
4.0      GB  | Argo_(2012)
4.0      GB  | Le_Cinquième_Élément_(1997)
3.9      GB  | Mission_-_Impossible_-_Dead_Reckoning_Partie_1_(2023)
3.8      GB  | At_Eternity's_Gate_(2018)
3.7      GB  | Futurama_-_Prenez_garde_au_seigneur_des_robots_!_(2008)
3.7      GB  | La_Vague_(2008)
3.5      GB  | Le_Dîner_de_cons_(1998)
3.5      GB  | Tonnerre_sous_les_tropiques_-_Unrated_(2008)
3.5      GB  | Equilibrium_(2002)
3.3      GB  | Appel_d'urgence_(1989)
3.2      GB  | Les_Sept_Samouraïs_(1954)
3.2      GB  | Gremlins_(1984)
3.1      GB  | The_Grand_Budapest_Hotel_(2014)
2.9      GB  | Aliens,_le_retour_-_Special_Edition_(1986)
2.9      GB  | Dernier_train_pour_Busan_(2016)
2.9      GB  | movies
2.9      GB  | The_Big_Lebowski_-_Remastered_(1998)
2.8      GB  | La_Nonne_(2018)
2.7      GB  | Riders_of_Justice_(2020)
2.7      GB  | Minority_Report_(2002)
2.6      GB  | Rogue_One_-_A_Star_Wars_Story_(2016)
2.4      GB  | Mission_-_Impossible_-_Fallout_(2018)
2.4      GB  | Godzilla_Minus_One_(2023)
2.4      GB  | Seul_sur_Mars_(2015)
2.3      GB  | Les_Blues_Brothers_(1980)
2.3      GB  | Terminator_2_-_Le_Jugement_dernier_(1991)
2.2      GB  | Au-delà_de_nos_rêves_(1998)
2.1      GB  | Peur_primale_(1996)
2.1      GB  | L'Associé_du_diable_(1997)
2.1      GB  | The_French_Dispatch_(2021)
2.0      GB  | Le_Loup_de_Wall_Street_(2013)
2.0      GB  | Oppenheimer_(2023)
2.0      GB  | La_Ligne_rouge_(1998)
2.0      GB  | Margin_Call_(2011)
2.0      GB  | Good_Morning,_Vietnam_(1987)
1.9      GB  | À_la_poursuite_d'Octobre_Rouge_(1990)
1.9      GB  | Full_Metal_Jacket_(1987)
1.9      GB  | Seven_Sisters_(2017)
1.9      GB  | A_Scanner_Darkly_(2006)
1.9      GB  | La_Grande_Illusion_(1937)
1.9      GB  | Crocos_vs_Requins_(2021)
1.9      GB  | Kaamelott_-_Premier_volet_(2021)
1.9      GB  | Ouvre_les_yeux_(1997)
1.9      GB  | Her_(2013)
1.9      GB  | Hook_ou_la_Revanche_du_capitaine_Crochet_(1991)
1.8      GB  | Les_Prédateurs_(1983)
1.8      GB  | Lords_of_Chaos_(2018)
1.8      GB  | Alien,_le_huitième_passager_-_Theatrical_Edition_(1979)
1.8      GB  | La_Haine_(1995)
1.8      GB  | The_Hunt_(2012)
1.8      GB  | Au_poste !_(2018)
1.8      GB  | Donnie_Darko_-_Theatrical_Edition_(2001)
1.8      GB  | Beetlejuice_-_Remastered_(1988)
1.7      GB  | The_Rocky_Horror_Picture_Show_(1975)
1.7      GB  | Wasabi_(2001)
1.7      GB  | Room_in_Rome_(2010)
1.7      GB  | Broker_(2016)
1.7      GB  | Alien,_la_résurrection_(1997)
1.7      GB  | Vampires_kiss_1988
1.6      GB  | Koyaanisqatsi_-_Remastered_(1983)
1.6      GB  | Dead_Man's_Shoes_(2004)
1.6      GB  | Terminator_(1984)
1.6      GB  | Thirteen_(2003)
1.5      GB  | The_Surfer_(2025)
